field_1,lat,lon,depth,time,orid,evid,julian_date,nass,ndef,ndp,grn,srn,etype,review,depdp,dtype,mb,mbid,ms,msid,ml,mlid,algorithm,auth,commid_x,lddate_x,date,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,sdobs,smajax,sminax,strike,sdepth,stime,conf,commid_y,lddate_y
88,56.1012,-120.5674,1,1547748402.68,89,89,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.81,5995,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-17 18:06:42.684580088,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.4038,2.9317,2.7797,44.98,0,-1,0,-1,1565395763.82
89,56.059,-120.5119,0.4783,1547754616.42,90,90,-1,19,19,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.28,5996,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-17 19:50:16.417530060,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3471,1.1572,0.555,12.12,2.9771,-1,0,-1,1565395763.82
91,56.0682,-120.5684,1,1547757092.66,92,92,-1,7,7,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.55,5998,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-17 20:31:32.658930063,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3127,2.946,2.2587,225.15,0,-1,0,-1,1565395763.82
95,56.0786,-120.5447,1,1547770531.36,96,96,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.75,6002,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 00:15:31.363090038,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3227,2.6637,2.1921,227.82,0,-1,0,-1,1565395763.82
97,56.0932,-120.5521,0.1324,1547776256.91,98,98,-1,15,15,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.46,6004,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 01:50:56.911329985,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2272,1.8857,1.2243,344.94,9.8888,-1,0,-1,1565395763.82
98,56.0592,-120.5069,1,1547776832.59,99,99,-1,10,10,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.41,6005,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 02:00:32.591869831,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.4257,1.8793,0.6746,26.49,0,-1,0,-1,1565395763.82
99,56.077,-120.4955,1,1547778151.17,100,100,-1,18,18,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.86,6006,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 02:22:31.169869900,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3508,1.4471,0.7722,353.73,0,-1,0,-1,1565395763.82
100,56.1004,-120.5679,1,1547782327.13,101,101,-1,7,7,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.71,6007,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 03:32:07.125980138,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.294,2.9297,2.6349,227.24,0,-1,0,-1,1565395763.82
105,56.0677,-120.498,1,1547805282.07,106,106,-1,17,17,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.24,6012,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 09:54:42.072469950,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3986,1.2555,0.6193,13.92,0,-1,0,-1,1565395763.82
106,56.067,-120.4826,1,1547807265.18,107,107,-1,9,9,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.4,6013,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-18 10:27:45.176330090,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3314,2.3012,0.7561,31.73,0,-1,0,-1,1565395763.82
