,lat,lon,depth,time,orid,evid,julian_date,nass,ndef,ndp,grn,srn,etype,review,depdp,dtype,mb,mbid,ms,msid,ml,mlid,algorithm,auth,commid_x,lddate_x,date,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,sdobs,smajax,sminax,strike,sdepth,stime,conf,commid_y,lddate_y
0,55.9222,-120.3991,0.3337,1547196796.78071,1,1,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.03,5907,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-11 08:53:16.780709982,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.3737,2.2402,0.9457,359.38,7.1076,-1.0,0.0,-1,1565395763.81561
1,55.906,-120.3923,0.4093,1547196966.37037,2,2,-1,11,10,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.47,5908,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-11 08:56:06.370369911,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.3307,1.0884,0.7397,356.25,4.8584,-1.0,0.0,-1,1565395763.81561
2,56.0733,-120.4998,0.2076,1547203601.09803,3,3,-1,11,11,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.46,5909,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-11 10:46:41.098030090,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.4652,1.8433,0.7554,21.66,5.952,-1.0,0.0,-1,1565395763.81561
3,56.0266,-120.6516,1.9945,1547212931.14263,4,4,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.6,5910,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-11 13:22:11.142630100,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.3205,1.9601,1.2811,335.52,2.9916,-1.0,0.0,-1,1565395763.81561
4,56.0659,-120.5671,0.1585,1547216266.85395,5,5,-1,8,8,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.83,5911,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-11 14:17:46.853950024,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.239,3.0717,2.2188,241.72,7.7089,-1.0,0.0,-1,1565395763.81561
5,55.8996,-120.3919,1.0,1547249254.33045,6,6,-1,9,9,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.22,5912,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-11 23:27:34.330450058,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.2858,1.5094,0.8619,308.96,0.0,-1.0,0.0,-1,1565395763.81561
6,55.8867,-120.4167,0.3341,1547261828.42186,7,7,-1,11,11,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.43,5913,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-12 02:57:08.421859980,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.4122,0.831,0.6781,346.69,4.5861,-1.0,0.0,-1,1565395763.81561
7,56.0643,-120.6665,8.4668,1547301818.2492301,8,8,-1,6,6,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.2,5914,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-12 14:03:38.249230146,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.1547,3.4919,1.8406,25.02,1.1462,-1.0,0.0,-1,1565395763.81561
8,56.0308,-120.6488,1.0,1547302801.9509199,9,9,-1,7,7,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.79,5915,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-12 14:20:01.950919867,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.3511,1.3186,0.7894,270.39,0.0,-1.0,0.0,-1,1565395763.81561
9,55.8936,-120.3854,1.0,1547351371.0849,10,10,-1,13,13,-1,-1,-1,-,-,-999.0,-,-999.0,-1,-999.0,-1,0.24,5916,dbgenloc,dbgenloc:PGCMl,-1,1565395763.81561,2019-01-13 03:49:31.084899902,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,-999999999.9999,0.3654,0.7894,0.5545,358.05,0.0,-1.0,0.0,-1,1565395763.81561
